split,model_name,feature_set,regime,threshold,transaction_cost,strategy_n_days,strategy_cumulative_return,strategy_annualized_return,strategy_annualized_volatility,strategy_sharpe,strategy_max_drawdown,strategy_avg_daily_return,buy_hold_n_days,buy_hold_cumulative_return,buy_hold_annualized_return,buy_hold_annualized_volatility,buy_hold_sharpe,buy_hold_max_drawdown,buy_hold_avg_daily_return,exposure,trades,win_rate_when_in_market
val,Logit,general,2020 COVID shock,0.52,0.0001,249,0.14613167866124877,0.14801664606075082,0.3466613899761099,0.5725761534288633,-0.33924959024260526,0.0007876589095826353,249,0.13591785993830996,0.13766332637634981,0.34679551824024174,0.546345719425489,-0.33924959024260537,0.0007518660591527784,0.9959839357429718,3,0.5685483870967742
val,Logit,general,Other,0.52,0.0001,250,0.2968493719594365,0.2995489789018797,0.13061676704654146,2.0721513447218167,-0.05212532648585422,0.0010740385296774094,250,0.2961398673206126,0.29883231102745444,0.1306346821987418,2.0676577617615566,-0.05212532648585422,0.0010718564071566775,0.996,3,0.5742971887550201
val,Logit,vader,2020 COVID shock,0.57,0.0001,249,0.0728778999996671,0.07378757742641984,0.0336197451721195,2.1344665516069314,-0.007277977628909138,0.00028476278390253054,249,0.13591785993830996,0.13766332637634981,0.34679551824024174,0.546345719425489,-0.33924959024260537,0.0007518660591527784,0.028112449799196786,14,0.8571428571428571
val,Logit,vader,Other,0.57,0.0001,250,-0.012985917171808858,-0.01308912163804865,0.011992045207197951,-1.0926416239985364,-0.012985917171808858,-5.1996062501018394e-05,250,0.2961398673206126,0.29883231102745444,0.1306346821987418,2.0676577617615566,-0.05212532648585422,0.0010718564071566775,0.008,4,0.0
val,XGB,all,2020 COVID shock,0.5,0.0001,249,0.13580346050711722,0.1375473708035031,0.346797821703824,0.546050263974697,-0.33924959024260526,0.0007514644527270753,249,0.13591785993830996,0.13766332637634981,0.34679551824024174,0.546345719425489,-0.33924959024260537,0.0007518660591527784,1.0,1,0.5662650602409639
val,XGB,all,Other,0.5,0.0001,250,0.2960111648740491,0.29870230952330057,0.1306300641237042,2.066959213522173,-0.052125326485853885,0.0010714564071566772,250,0.2961398673206126,0.29883231102745444,0.1306346821987418,2.0676577617615566,-0.05212532648585422,0.0010718564071566775,1.0,1,0.572
val,XGB,dict,2020 COVID shock,0.55,0.0001,249,0.19541611090946787,0.19798966034472731,0.2198690886061042,0.9311601992130215,-0.18745659086725697,0.0008124339061398629,249,0.13591785993830996,0.13766332637634981,0.34679551824024174,0.546345719425489,-0.33924959024260537,0.0007518660591527784,0.39759036144578314,107,0.5858585858585859
val,XGB,dict,Other,0.55,0.0001,250,0.15825848691877553,0.15962063545940208,0.066606408205817,2.2571468024830974,-0.02216502018374844,0.0005965890528041419,250,0.2961398673206126,0.29883231102745444,0.1306346821987418,2.0676577617615566,-0.05212532648585422,0.0010718564071566775,0.38,106,0.5789473684210527
val,XGB,finbert,2020 COVID shock,0.5,0.0001,249,0.13580346050711722,0.1375473708035031,0.346797821703824,0.546050263974697,-0.33924959024260526,0.0007514644527270753,249,0.13591785993830996,0.13766332637634981,0.34679551824024174,0.546345719425489,-0.33924959024260537,0.0007518660591527784,1.0,1,0.5662650602409639
val,XGB,finbert,Other,0.5,0.0001,250,0.2960111648740491,0.29870230952330057,0.1306300641237042,2.066959213522173,-0.052125326485853885,0.0010714564071566772,250,0.2961398673206126,0.29883231102745444,0.1306346821987418,2.0676577617615566,-0.05212532648585422,0.0010718564071566775,1.0,1,0.572
val,XGB,general,2020 COVID shock,0.54,0.0001,249,0.6626758661727425,0.6728920815052097,0.2931471936087331,1.9020474569608616,-0.20734079115232507,0.0022126185480900954,249,0.13591785993830996,0.13766332637634981,0.34679551824024174,0.546345719425489,-0.33924959024260537,0.0007518660591527784,0.8232931726907631,75,0.5951219512195122
val,XGB,general,Other,0.54,0.0001,250,0.2726631392684178,0.2751203397730404,0.11763597879895743,2.1256381836460654,-0.046108762623756294,0.000992267969466837,250,0.2961398673206126,0.29883231102745444,0.1306346821987418,2.0676577617615566,-0.05212532648585422,0.0010718564071566775,0.788,99,0.5736040609137056
val,XGB,vader,2020 COVID shock,0.54,0.0001,249,0.09963440194945816,0.1008934452559096,0.3186891876773766,0.46214349266304994,-0.28600475207227505,0.0005844449772506866,249,0.13591785993830996,0.13766332637634981,0.34679551824024174,0.546345719425489,-0.33924959024260537,0.0007518660591527784,0.8433734939759037,61,0.5714285714285714
val,XGB,vader,Other,0.54,0.0001,250,0.28910385405210826,0.29172543156449215,0.12220741739248116,2.1566017813914886,-0.043901584471333854,0.0010458441827296747,250,0.2961398673206126,0.29883231102745444,0.1306346821987418,2.0676577617615566,-0.05212532648585422,0.0010718564071566775,0.84,57,0.5761904761904761
